conto,descrizione,centro_di_costo,tipo_costo,importo
6053,Spesa materiali per CC-REC,CC-REC,materiali,1918.88
6040,Spesa servizi_esterni per CC-CON,CC-CON,servizi_esterni,2843.67
6026,Spesa marketing per CC-CON,CC-CON,marketing,3121.43
6029,Spesa manutenzione per CC-MNT,CC-MNT,manutenzione,4737.55
6011,Spesa affitti per CC-REC,CC-REC,affitti,3197.9
6051,Spesa personale per CC-MNT,CC-MNT,personale,43990.53
6010,Spesa servizi_esterni per CC-ADM,CC-ADM,servizi_esterni,2642.93
6065,Spesa materiali per CC-COM,CC-COM,materiali,3108.09
6080,Spesa manutenzione per CC-HSK,CC-HSK,manutenzione,4519.72
6058,Spesa personale per CC-ADM,CC-ADM,personale,22080.27
6091,Spesa affitti per CC-ADM,CC-ADM,affitti,1580.82
6057,Spesa manutenzione per CC-COM,CC-COM,manutenzione,2904.67
6035,Spesa affitti per CC-MNT,CC-MNT,affitti,4197.55
6093,Spesa servizi_esterni per CC-REC,CC-REC,servizi_esterni,2067.5
6099,Spesa manutenzione per CC-HSK,CC-HSK,manutenzione,4544.24
6093,Spesa affitti per CC-MNT,CC-MNT,affitti,3366.24
6045,Spesa marketing per CC-REC,CC-REC,marketing,1174.94
6082,Spesa affitti per CC-FNB,CC-FNB,affitti,1987.32
6058,Spesa utilities per CC-FNB,CC-FNB,utilities,5221.88
6011,Spesa materiali per CC-DIR,CC-DIR,materiali,3786.91
6012,Spesa materiali per CC-DIR,CC-DIR,materiali,1980.25
6042,Spesa personale per CC-CON,CC-CON,personale,36563.64
6072,Spesa utilities per CC-REC,CC-REC,utilities,6951.58
6050,Spesa marketing per CC-HSK,CC-HSK,marketing,1598.66
6087,Spesa affitti per CC-COM,CC-COM,affitti,1524.91
6062,Spesa manutenzione per CC-COM,CC-COM,manutenzione,2753.58
6056,Spesa utilities per CC-DIR,CC-DIR,utilities,7692.27
6080,Spesa utilities per CC-MNT,CC-MNT,utilities,5138.35
6091,Spesa affitti per CC-CON,CC-CON,affitti,2205.28
6099,Spesa personale per CC-HSK,CC-HSK,personale,29371.23
6050,Spesa manutenzione per CC-DIR,CC-DIR,manutenzione,3021.68
6091,Spesa affitti per CC-MNT,CC-MNT,affitti,4795.32
6067,Spesa servizi_esterni per CC-FNB,CC-FNB,servizi_esterni,1728.89
6035,Spesa manutenzione per CC-HSK,CC-HSK,manutenzione,4364.43
6090,Spesa affitti per CC-CON,CC-CON,affitti,3983.67
6027,Spesa servizi_esterni per CC-HSK,CC-HSK,servizi_esterni,4119.38
6010,Spesa materiali per CC-CON,CC-CON,materiali,4334.78
6034,Spesa utilities per CC-CON,CC-CON,utilities,6806.16
6061,Spesa marketing per CC-REC,CC-REC,marketing,554.06
6041,Spesa personale per CC-FNB,CC-FNB,personale,43270.55
6091,Spesa servizi_esterni per CC-FNB,CC-FNB,servizi_esterni,3197.1
6099,Spesa affitti per CC-CON,CC-CON,affitti,1987.46
6097,Spesa utilities per CC-COM,CC-COM,utilities,7123.69
6094,Spesa affitti per CC-DIR,CC-DIR,affitti,3734.88
6072,Spesa servizi_esterni per CC-HSK,CC-HSK,servizi_esterni,2220.66
6050,Spesa servizi_esterni per CC-HSK,CC-HSK,servizi_esterni,3429.25
6017,Spesa affitti per CC-MNT,CC-MNT,affitti,3370.85
6053,Spesa marketing per CC-FNB,CC-FNB,marketing,4504.45
6026,Spesa materiali per CC-REC,CC-REC,materiali,2588.38
6020,Spesa servizi_esterni per CC-CON,CC-CON,servizi_esterni,1001.04
